Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Reporting Type;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);143;Central Asia;G;PERCENT;3.59;3.4;3.49;3.67;3.29;3.9;3.51;3.29;2.39;2.83;2.83;2.78;3.05;2.79;3.06;3.35;3.36;3.55;3.57;3.58;3.14;3.23;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);148;Chad;G;PERCENT;88.7;88.6;88.53;83.91;84;83.82;83.74;82.38;79.85;79.36;79.23;80.68;76.08;72.62;72.52;72.66;72.72;72.84;73.13;72.75;71.89;69.9;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);152;Chile;G;PERCENT;31.36;32.15;33.07;31.62;31.44;32.26;32.91;30.46;30.83;31.53;27.04;28.79;30.31;30.23;26.95;25.06;24.55;24.1;25.46;25.27;26.73;24.17;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);156;China;G;PERCENT;29.63;28.36;27;23.86;20.17;17.44;16.39;14.88;14.14;13.43;12.26;11.34;11.53;11.47;11.91;12.18;12.56;13.13;13.53;14.29;14.91;15.21;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);344;China, Hong Kong Special Administrative Region;G;PERCENT;0.05;0.06;0.08;0.08;0.09;0.08;0.07;0.1;0.13;0.11;0.15;0.48;0.17;0.26;0.23;0.2;0.16;0.2;0.23;0.23;0.33;0.42;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);446;China, Macao Special Administrative Region;G;PERCENT;0.19;0.89;1.38;2.44;2.52;2.28;2.84;3.42;4.66;2.97;5.49;6.37;11.13;16.61;11.45;5.41;5.38;3.87;8.43;8.43;11.03;13.61;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);170;Colombia;G;PERCENT;27.85;27.08;28.63;30.55;29.04;28.94;30.62;31.03;30.77;31.39;30.55;29.64;29.56;32.01;32.09;31.09;30.46;32.25;30.45;31.54;31.95;29.7;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);174;Comoros;G;PERCENT;69.87;69.51;70.31;64.4;63.52;65.74;61.81;74.37;73.44;68.53;66.02;68.99;68.28;63.56;67.95;67.03;63.97;59.45;57.68;55.31;50.83;41.19;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);178;Congo;G;PERCENT;64.86;61.18;68.62;62.1;63.06;63.06;69.35;60.25;56.79;55.87;54.53;64.35;65.11;62.31;62.06;64.25;67.71;69.82;70.57;69.8;71.36;71.38;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);184;Cook Islands;G;PERCENT;9.28;9.9;12.25;11.07;10.4;9.42;8.42;8.71;8.42;9.01;7.25;6.52;6.17;6.32;6.26;7.18;7.74;8;9.39;9.02;9.94;8.76;;;;;;;;;;;;;;;;;;;;;
