Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Type of renewable technology,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,HYDROPOWER,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,1.18296,1.16693,3.45905,3.42177,4.51993,4.4825,37.80256,38.75712,47.34468,95.10401,94.59709,138.82414,137.99762,137.19698
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),28,Antigua and Barbuda,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,ALL,W_PER_CAPITA,234.54156,232.84296,234.76134,233.57962,234.66896,233.07689,231.52936,236.01472,234.10061,240.69191,239.00342,250.27998,251.18203,250.08705,247.45488,246.54743,245.40913,244.17019,258.54466,283.62267,312.43481,331.78437,331.6095
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,BIOENERGY,W_PER_CAPITA,1.77007,1.65513,2.07567,2.6664,3.04654,3.27132,4.09263,4.93937,5.13304,4.93074,5.56317,5.60428,6.10533,6.23479,5.43627,5.98575,5.68656,5.58852,4.96807,6.65222,6.82025,6.21195,6.25961
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,GEOTHERMAL,W_PER_CAPITA,0.01619,0.01601,0.01584,0.01567,0.01552,0.01536,0.0152,0.01505,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),32,Argentina,G,HYDROPOWER,W_PER_CAPITA,232.37036,230.47989,231.95971,230.19652,230.88125,229.07436,226.71489,230.36073,228.26001,235.0755,232.72093,243.14851,241.60035,239.11333,236.73929,235.98517,235.18225,233.18499,232.32469,231.09297,230.35011,229.15775,228.2723
